0 Jahre,Eisenstadt (Stadt) <101>,30
0 Jahre,Rust (Stadt) <102>,-
0 Jahre,Eisenstadt Umgebung <103>,46
0 Jahre,Güssing <104>,17
0 Jahre,Jennersdorf <105>,12
0 Jahre,Mattersburg <106>,41
0 Jahre,Neusiedl am See <107>,44
0 Jahre,Oberpullendorf <108>,29
0 Jahre,Oberwart <109>,66
0 Jahre,Klagenfurt (Stadt) <201>,151
0 Jahre,Villach (Stadt) <202>,83
0 Jahre,Feldkirchen <210>,22
0 Jahre,Hermagor <203>,11
0 Jahre,Klagenfurt Land <204>,52
0 Jahre,Sankt Veit an der Glan <205>,54
0 Jahre,Spittal an der Drau <206>,66
0 Jahre,Villach Land <207>,51
0 Jahre,Völkermarkt <208>,40
0 Jahre,Wolfsberg <209>,57
0 Jahre,Krems an der Donau (Stadt) <301>,24
0 Jahre,Sankt Pölten (Stadt) <302>,83
0 Jahre,Waidhofen an der Ybbs (Stadt) <303>,12
0 Jahre,Wiener Neustadt (Stadt) <304>,86
0 Jahre,Amstetten <305>,112
0 Jahre,Baden <306>,160
0 Jahre,Bruck an der Leitha <307>,134
0 Jahre,Gänserndorf <308>,144
0 Jahre,Gmünd <309>,26
0 Jahre,Hollabrunn <310>,64
0 Jahre,Horn <311>,27
0 Jahre,Korneuburg <312>,93
0 Jahre,Krems Land <313>,32
0 Jahre,Lilienfeld <314>,35
0 Jahre,Melk <315>,83
0 Jahre,Mistelbach <316>,63
0 Jahre,Mödling <317>,120
0 Jahre,Neunkirchen <318>,67
0 Jahre,Sankt Pölten Land <319>,141
0 Jahre,Scheibbs <320>,28
0 Jahre,Tulln <321>,115
0 Jahre,Waidhofen an der Thaya <322>,13
0 Jahre,Wiener Neustadt Land <323>,79
0 Jahre,Wien Umgebung ^<324>,-
0 Jahre,Zwettl <325>,36
0 Jahre,Stadt Linz <401>,279
0 Jahre,Stadt Steyr <402>,43
0 Jahre,Stadt Wels <403>,108
0 Jahre,Braunau <404>,106
0 Jahre,Eferding <405>,27
0 Jahre,Freistadt <406>,45
0 Jahre,Gmunden <407>,81
0 Jahre,Grieskirchen <408>,58
0 Jahre,Kirchdorf <409>,46
0 Jahre,Linz Land <410>,195
0 Jahre,Perg <411>,67
0 Jahre,Ried <412>,83
0 Jahre,Rohrbach <413>,31
0 Jahre,Schärding <414>,46
0 Jahre,Steyr Land <415>,57
0 Jahre,Urfahr Umgebung <416>,67
0 Jahre,Vöcklabruck <417>,166
0 Jahre,Wels Land <418>,92
0 Jahre,Salzburg (Stadt) <501>,170
0 Jahre,Hallein <502>,55
