STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Alter in 15-Jahresgruppen <6> nach Jahr und Bundesland (NUTS 2) - Herkunftsort nach Bundesland (NUTS 2) -  - Zielort"
"Zählt: Wanderungen innerhalb Österreichs"

Filter:
"Standardfakt";"Wanderungen innerhalb Österreichs"

" bis 14 Jahre"
;"Bundesland (NUTS 2) -  - Zielort";"Burgenland <AT11>";"Burgenland <AT11> - Anmerkungen";"Kärnten <AT21>";"Kärnten <AT21> - Anmerkungen";"Niederösterreich <AT12>";"Niederösterreich <AT12> - Anmerkungen";"Oberösterreich <AT31>";"Oberösterreich <AT31> - Anmerkungen";"Salzburg <AT32>";"Salzburg <AT32> - Anmerkungen";"Steiermark <AT22>";"Steiermark <AT22> - Anmerkungen";"Tirol <AT33>";"Tirol <AT33> - Anmerkungen";"Vorarlberg <AT34>";"Vorarlberg <AT34> - Anmerkungen";"Wien <AT13>";"Wien <AT13> - Anmerkungen";"Nicht klassifizierbar <0>";"Nicht klassifizierbar <0> - Anmerkungen";
"Jahr";"Bundesland (NUTS 2) - Herkunftsort";
"2025";"Burgenland <AT11>";2281;;14;;232;;26;;2;;111;;13;;7;;166;;-;;
;"Kärnten <AT21>";20;;6098;;52;;89;;113;;131;;53;;14;;195;;-;;
;"Niederösterreich <AT12>";297;;82;;15059;;344;;118;;173;;43;;41;;1490;;-;;
;"Oberösterreich <AT31>";23;;69;;354;;15685;;275;;161;;54;;31;;533;;-;;
;"Salzburg <AT32>";19;;93;;58;;377;;5319;;95;;77;;44;;187;;-;;
;"Steiermark <AT22>";149;;158;;122;;135;;58;;13945;;40;;18;;264;;-;;
;"Tirol <AT33>";29;;72;;72;;102;;47;;90;;7276;;55;;166;;-;;
;"Vorarlberg <AT34>";11;;9;;30;;56;;6;;37;;31;;5123;;79;;-;;
;"Wien <AT13>";340;;115;;3796;;326;;88;;268;;72;;92;;25795;;-;;
;"Nicht klassifizierbar <0>";-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;


" 15 bis 29 Jahre"
