Alter in 5-Jahresgruppen <20>,Jahr,Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort,Politischer Bezirk / Wiener Gemeindebezirk - Zielort,Anzahl,Anmerkungen
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 1.Bezirk, Innere Stadt <901>",13
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 2.Bezirk, Leopoldstadt <902>",7
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 3.Bezirk, Landstraße <903>",9
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 4.Bezirk, Wieden <904>",2
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 5.Bezirk, Margareten <905>",1
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 6.Bezirk, Mariahilf <906>",2
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 7.Bezirk, Neubau <907>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 8.Bezirk, Josefstadt <908>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 9.Bezirk, Alsergrund <909>",2
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 10.Bezirk, Favoriten <910>",3
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 11.Bezirk, Simmering <911>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 12.Bezirk, Meidling <912>",2
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 13.Bezirk, Hietzing <913>",2
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 14.Bezirk, Penzing <914>",2
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",1
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 16.Bezirk, Ottakring <916>",1
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 17.Bezirk, Hernals <917>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 18.Bezirk, Währing <918>",3
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 19.Bezirk, Döbling <919>",3
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 20.Bezirk, Brigittenau <920>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 21.Bezirk, Floridsdorf <921>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 22.Bezirk, Donaustadt <922>",-
bis 4 Jahre,2025,"Wien 1.Bezirk, Innere Stadt <901>","Wien 23.Bezirk, Liesing <923>",2
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 1.Bezirk, Innere Stadt <901>",7
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 2.Bezirk, Leopoldstadt <902>",249
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 3.Bezirk, Landstraße <903>",25
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 4.Bezirk, Wieden <904>",6
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 5.Bezirk, Margareten <905>",3
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 6.Bezirk, Mariahilf <906>",12
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 7.Bezirk, Neubau <907>",3
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 8.Bezirk, Josefstadt <908>",2
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 9.Bezirk, Alsergrund <909>",7
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 10.Bezirk, Favoriten <910>",23
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 11.Bezirk, Simmering <911>",12
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 12.Bezirk, Meidling <912>",8
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 13.Bezirk, Hietzing <913>",3
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 14.Bezirk, Penzing <914>",13
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",2
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 16.Bezirk, Ottakring <916>",9
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 17.Bezirk, Hernals <917>",7
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 18.Bezirk, Währing <918>",7
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 19.Bezirk, Döbling <919>",8
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 20.Bezirk, Brigittenau <920>",43
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 21.Bezirk, Floridsdorf <921>",40
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 22.Bezirk, Donaustadt <922>",80
bis 4 Jahre,2025,"Wien 2.Bezirk, Leopoldstadt <902>","Wien 23.Bezirk, Liesing <923>",16
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 1.Bezirk, Innere Stadt <901>",4
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 2.Bezirk, Leopoldstadt <902>",42
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 3.Bezirk, Landstraße <903>",162
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 4.Bezirk, Wieden <904>",7
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 5.Bezirk, Margareten <905>",3
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 6.Bezirk, Mariahilf <906>",8
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 7.Bezirk, Neubau <907>",1
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 8.Bezirk, Josefstadt <908>",1
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 9.Bezirk, Alsergrund <909>",11
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 10.Bezirk, Favoriten <910>",40
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 11.Bezirk, Simmering <911>",42
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 12.Bezirk, Meidling <912>",11
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 13.Bezirk, Hietzing <913>",10
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 14.Bezirk, Penzing <914>",4
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",11
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 16.Bezirk, Ottakring <916>",7
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 17.Bezirk, Hernals <917>",5
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 18.Bezirk, Währing <918>",2
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 19.Bezirk, Döbling <919>",12
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 20.Bezirk, Brigittenau <920>",11
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 21.Bezirk, Floridsdorf <921>",24
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 22.Bezirk, Donaustadt <922>",61
bis 4 Jahre,2025,"Wien 3.Bezirk, Landstraße <903>","Wien 23.Bezirk, Liesing <923>",15
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 1.Bezirk, Innere Stadt <901>",-
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 2.Bezirk, Leopoldstadt <902>",5
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 3.Bezirk, Landstraße <903>",11
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 4.Bezirk, Wieden <904>",38
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 5.Bezirk, Margareten <905>",14
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 6.Bezirk, Mariahilf <906>",7
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 7.Bezirk, Neubau <907>",1
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 8.Bezirk, Josefstadt <908>",-
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 9.Bezirk, Alsergrund <909>",1
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 10.Bezirk, Favoriten <910>",13
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 11.Bezirk, Simmering <911>",3
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 12.Bezirk, Meidling <912>",5
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 13.Bezirk, Hietzing <913>",5
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 14.Bezirk, Penzing <914>",4
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",3
bis 4 Jahre,2025,"Wien 4.Bezirk, Wieden <904>","Wien 16.Bezirk, Ottakring <916>",4
